itemTableID,questionID,description,Image URL
10127,2009-12M2 #10,Find range for area given precision of linear measurements,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=61b3abe9-a3ad-417a-941a-1e830a7d5db6
10128,2009-12M2 #11,Subtract rational expressions,
10130,2009-12M2 #13,Identify trigonometric function with specified properties,
9822,2009-12M7 #1,Solve problem using data in table (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=97631534-4323-43ae-9f3c-df964a4f7116
9823,2009-12M7 #2,Solve problem involving area in context (calculator available),
9826,2009-12M7 #5,Estimate amount of time for problem in context (calculator available),
9827,2009-12M7 #6,Identify algebraic expression that models a scenario (calculator available),
9829,2009-12M7 #8,Solve problem involving numerical sequence (calculator available),
9830,2009-12M7 #9,Analyze correlations of two data sets in a scatterplot (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=68bdc55d-ee47-4334-8b22-28ed3a663b1a
9832,2009-12M7 #11,Use trigonometry to find height of object,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=b0ae9fd6-086a-4483-831a-1948d6b3d6b1
6957,2007-4M7 #1,Locate an object in a picture (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=4568ce13-0e74-4549-9701-2223a1cc1ce7
6958,2007-4M7 #2,Solve a story problem involving subtraction (calculator available),
6960,2007-4M7 #4,Identify number sentence that models balanced scale (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=a08db888-471d-42ae-8d87-31563ab5cda9
6961,2007-4M7 #5,Convert a quantity of pints to quarts (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=f2b60e8a-619d-4b9b-a645-908be6909da6
6963,2007-4M7 #7,Identify picture representing greatest probability (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=ca40688c-be34-4d89-ba4f-e0503eefc444
6964,2007-4M7 #8,Solve problem involving time (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=029d4587-c280-4627-8afa-dcc6a6c3008a
6966,2007-4M7 #10,Identify 3-D shape resulting from folding paper (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=d151e455-6455-4326-8041-77c443c143de
6968,2007-4M7 #12,Relate input to output from a table of values (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=4a5dff30-420d-4f4a-b088-c22fbbd33044
6970,2007-4M7 #14,Solve story problem involving multiple operations (calculator available),
6971,2007-4M7 #15,Interpret calculator output in a context (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=01dca02e-22ff-4552-90c2-9f2121e9657c
6973,2007-4M9 #1,Recognize a reasonable measurement for an object,
6974,2007-4M9 #2,Find a sum based on place value,
6976,2007-4M9 #4,Identify fraction modeled by picture,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=502b29e1-5bb6-4fe6-9c3a-afe5833e6202
6977,2007-4M9 #5,Identify expression that represents a scenario,
6979,2007-4M9 #7,Read a speedometer to solve a problem,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=97ad05da-916a-47a8-ad8d-088c6bc3b37e
6980,2007-4M9 #8,Solve a story problem involving money,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=6157f09c-7c05-46d8-9866-be1ddcc674f2
6982,2007-4M9 #10,Determine probability of a specific outcome,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=f911483b-bb24-49ae-a77c-27a34588259c
6984,2007-4M9 #12,Identify best unit for measuring an object,
6989,2007-4M9 #17,Find missing figure in a pattern of shapes,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=4ad76edd-6f44-44e4-8e7c-f0c1306d4050
6991,2007-4M9 #19,Find area of square with inscribed triangle,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=59aeafc2-78a0-4189-9370-4f2521d9af45
6939,2007-4M11 #1,Determine attribute being measured from picture,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=edb3ecb1-15e6-4389-a996-85ada6d1b838
6940,2007-4M11 #2,Identify place value representation of a number,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=6af45288-1000-4a9e-9f69-f3a11ce21c88
6941,2007-4M11 #3,Identify number that would be in a pattern,
6943,2007-4M11 #5,Use place value to determine amount of increase,
6944,2007-4M11 #6,Read information from a pictograph,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=a80e6a3f-c2c5-4b5a-81bb-2234f8ecd47e
6945,2007-4M11 #7,Find sum of numbers represented by base ten model,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=b01197ad-abf6-45b7-94f3-c980b28c3fcb
6947,2007-4M11 #9,Determine problem easiest to solve by mental math,
6948,2007-4M11 #10,Find figure with same perimeter as given figure,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=67036768-904f-4e47-9080-ab289f599dc5
6949,2007-4M11 #11,Solve story problem involving addition and subtraction,
6950,2007-4M11 #12,Find number of right angles in a picture,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=b708c3b7-0478-451b-a2a9-98ac540daa62
6951,2007-4M11 #13,Use place value to recognize a number,
6953,2007-4M11 #15,Find total quantity based on place value,
6955,2007-4M11 #17,Order four-digit numbers from smallest to largest,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=146be078-9ed6-459d-a564-dad171158006
6956,2007-4M11 #18,Determine number of blocks used to build a figure,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=d74de7ee-896c-42cf-8f67-d011b75d67c1
7012,2007-8M7 #1,Evaluate an expression for a specific value (calculator available) ,
7013,2007-8M7 #2,Determine most appropriate graph for a situation (calculator available),
7014,2007-8M7 #3,Find total charges given operating costs (calculator available),
7015,2007-8M7 #4,Determine measure of angle in triangle (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=06e0bf08-ab3f-442b-b116-efd753867611
7016,2007-8M7 #5,Identify number line representing given situation (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=b49160d3-86ee-4228-b5ba-519464efba72
7017,2007-8M7 #6,Recognize shape formed by overlapping figures (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=4e538b2f-1a0c-4c84-8088-79c8c54e4068
7019,2007-8M7 #8,Solve a story problem involving costs and profit (calculator available),
7020,2007-8M7 #9,Use formula to solve a problem (calculator available),
7021,2007-8M7 #10,Solve story problem involving milliliters and liters (calculator available) ,
7023,2007-8M7 #12,Estimate side length of a square given area (calculator available),
10290,2007-8M9 #1,Divide to find greatest whole quantity (calculator available),
10293,2007-8M9 #4,Solve an algebraic equation (calculator available),
10294,2007-8M9 #5,Recognize unit associated with specific attribute (calculator available),
10295,2007-8M9 #6,Divide large numbers in a given context (calculator available),
10296,2007-8M9 #7,Convert raw points to a percentage (calculator available),
10301,2007-8M9 #12,Identify fractions listed in ascending order (calculator available),
10303,2007-8M9 #14,Convert temperature from Fahrenheit to Celsius (calculator available),
10305,2007-8M9 #16,Find angle measure of minor arc of a circle (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=67c141c1-407d-4870-ab65-be077720a2b3
10306,2007-8M9 #17,Identify shape formed after folding paper (calculator available),
6993,2007-8M11 #1,Identify number rounded to nearest hundred,
6994,2007-8M11 #2,Identify point on a graph with specified coordinates,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=314b9a05-7eb2-45c0-8f32-b7d1cc13b6a1
6995,2007-8M11 #3,Determine fraction of figure shaded,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=65916eee-247f-4e77-b424-678e7fcb1d32
6996,2007-8M11 #4,Identify type of triangle from picture,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=bb1fc563-c6ce-4658-a5fb-63ed711fbf6f
6997,2007-8M11 #5,Use place value to write a number,
6998,2007-8M11 #6,Determine an expression to model a scenario,
7001,2007-8M11 #9,Estimate time given rate and distance,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=a0ff9b96-7dd0-41b0-a803-566a9f572963
7002,2007-8M11 #10,Find total cost based on unit price for a quantity,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=8fe98bd6-83eb-41a1-9b54-c4f2a888652d
7003,2007-8M11 #11,Identify the graph of a linear equation,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=61309dad-d885-4abc-8ddf-290af53c3e82
7004,2007-8M11 #12,Determine dimensions that give greatest volume,
7006,2007-8M11 #14,Determine an expected outcome,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=729dfaa8-5a67-441e-916c-da379912e343
7007,2007-8M11 #15,Use algebra to solve a story problem,
7008,2007-8M11 #16,Find number of combinations satisfying a condition,
7009,2007-8M11 #17,Approximate the length of the radius of a circle,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=a022cbba-d103-4056-822e-634e4cec9a06
7011,2007-8M11 #19,Determine distance given rate and time,
6798,2005-4M4 #3,Identify the missing figure in a pattern ,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=c1099f97-b166-451a-a4e4-987caaf5fa30
6801,2005-4M4 #6,Determine area of shaded region on grid,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=af0ccced-9e25-4671-95ba-5f5934016eea
6804,2005-4M4 #9,Identify numbers rounded to whole numbers,
7324,2005-4M12 #1,Identify a number given in expanded notation,
7325,2005-4M12 #2,Subtract fractions with common denominators,
7326,2005-4M12 #3,Solve a multi-step division problem,
7327,2005-4M12 #4,Subtract two-digit numbers to solve a story problem,
7328,2005-4M12 #5,Determine which attribute could be measured with a meter stick,
7330,2005-4M12 #7,Approximate fraction of an hour given minutes,
7331,2005-4M12 #8,Determine number of pieces from cutting wholes into fifths,
7333,2005-4M12 #10,Determine the most likely outcome in a story problem,
7334,2005-4M12 #11,Identify the appropriate title for a graph,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=3ab362a5-0ddd-4189-af25-51fc32e0cb1f
7335,2005-4M12 #12,Represent a situation with an algebraic expression,
7337,2005-4M12 #14,Identify equation to describe pattern given in table,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=84ad2e9c-1926-43f9-85e7-8398c1f8fe48
7338,2005-4M12 #15,Identify number sentence matching a situation,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=0551d50c-ec05-4d02-a583-683f5f5376b3
7339,2005-4M12 #16,Determine amount of change from a purchase,
6832,2005-8M3 #5,Reason to order quantities,
6834,2005-8M3 #7,Determine how many colors are needed to paint a cube,
6835,2005-8M3 #8,Identify piece of information not needed,
6837,2005-8M3 #10,Determine effect of increasing the value of one variable,
6838,2005-8M3 #11,Estimate the x-coordinate from the graph of a curve,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=49b80243-3345-46ec-8973-4acd4927a641
6839,2005-8M3 #12,Extend a pattern involving perfect squares,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=a39a496e-c229-4ed7-9ac2-3b998d5d60e9
6840,2005-8M3 #13,Determine coordinates to complete a rectangle,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=4562ee5b-4e3f-4aae-9770-bf1ea1ef752e
6841,2005-8M3 #14,Use properties of quadrilaterals to solve a problem,
6843,2005-8M3 #16,Recognize expanded form of number,
6844,2005-8M3 #17,Solve a story problem involving percent increase,
6853,2005-8M4 #3,Identify the missing figure in a pattern,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=011db762-25e2-477a-8353-cff94dc842cf
6856,2005-8M4 #6,Determine area of shaded region on grid,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=2a067fec-64a1-49bf-8839-731b9a258134
6859,2005-8M4 #9,Identify numbers rounded to whole numbers,
6869,2005-8M4 #19,"Given probability, determine faces of a cube labeled R",
6810,2005-8M12 #1,Convert a written number to decimal form,
6811,2005-8M12 #2,Find length of a rectangle given perimeter and width,
6812,2005-8M12 #3,Identify an equivalent algebraic expression,
6814,2005-8M12 #5,Calculate temperature increase on a thermometer,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=90808d09-4cf0-44ea-b069-d1d6991b95af
6815,2005-8M12 #6,Determine median price for a gallon of gasoline,
6818,2005-8M12 #9,Calculate midpoint of a line segment,
6819,2005-8M12 #10,Identify the graph of whole numbers less than 5,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=5b171810-db80-4a59-91c9-81fd911bb6d8
6820,2005-8M12 #11,Find the percent of a tip on a restaurant bill,
6821,2005-8M12 #12,Identify a point on a number line,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=a96dff6b-4323-4fd2-988f-47ebdb39299e
6822,2005-8M12 #13,Determine the 6th term in a pattern,
6824,2005-8M12 #15,Find the measure of an acute angle,
6826,2005-8M12 #17,Determine an equation given a table of x and y values,
6738,2005-12M3 #5,Identify graph representing data given in a table,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=846fd4d1-a663-4f7c-a801-b3344c13c983
6739,2005-12M3 #6,Calculate the measure of an angle in a triangle,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=32fc8b75-2601-45e3-994b-37f34fccc134
6740,2005-12M3 #7,Determine which spinner would likely produce given results,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=f1fb73e1-10df-4372-9ad0-29db4857ddac
6741,2005-12M3 #8,"Find the cost of mailing a letter, based on its weight",
6743,2005-12M3 #10,Find the length of the sides of a square,
6745,2005-12M3 #12,Determine the x-coordinate where 2 lines intersect,
6746,2005-12M3 #13,Calculate a weighted average for two groups,
6756,2005-12M4 #1,Find the missing dimension of a room,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=ae68fc50-2e0e-484c-8dca-ab78c418c497
6758,2005-12M4 #3,"Given the scale, determine the length of a side",https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=ae68fc50-2e0e-484c-8dca-ab78c418c497
6759,2005-12M4 #4,"Calculate an expected value, given a percentage",
6764,2005-12M4 #9,Identify effect of changing certain digits on a number’s value,
6766,2005-12M4 #11,Find x in the solution of a system of linear equations,
6768,2005-12M4 #13,Determine which triangle is not a 30-60-90 right triangle,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=a785a947-0f29-4d0f-915d-f0f5bb226ce7
6769,2005-12M4 #14,Determine the remainder in an algebraic setting,
6771,2005-12M4 #16,Solve a quadratic inequality,
6772,2005-12M4 #17,Determine the x-coordinate of a point on a sine curve,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=24db12e5-1e97-4d60-8304-a05e3ea5acdc
7306,2005-12M12 #1,Identify similar geometric figures (calculator available),
7307,2005-12M12 #2,Determine conditional probability from two-way table (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=44bc8bc3-c23c-4965-8dc4-1db3271a9887
7309,2005-12M12 #4,Find the measure of angle between streets (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=67fe5e95-6801-4235-b497-2b8291c2974a
7310,2005-12M12 #5,Find fourth term in numerical sequence (calculator available),
7311,2005-12M12 #6,Identify algebraic expressions to represent a situation (calculator available),
7313,2005-12M12 #8,Find actual dimensions of room drawn to scale (calculator available),
7314,2005-12M12 #9,Calculate a probability of independent events (calculator available),
7315,2005-12M12 #10,Determine the type of graph to best represent a situation (calculator available),
7318,2005-12M12 #13,"Estimate property value, given tax rate and amount (calculator available)",
7319,2005-12M12 #14,Determine the initial number of bacteria in a sample (calculator available),
7320,2005-12M12 #15,Solve a problem using trigonometry (calculator available),
7321,2005-12M12 #16,Solve a problem involving a normal distribution (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=21288ae5-8694-4409-942d-e43c904dcc5c
7322,2005-12M12 #17,Determine the increase in ticket prices from a cost model (calculator available),
7064,2003-4M6 #1,Add two 3-digit numbers,
7067,2003-4M6 #4,Identify which of four objects is heaviest,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=d33ab700-219f-405a-8020-08cc705b8f6c
7070,2003-4M6 #7,Reason using properties of a rectangle,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=a7e79cd2-8071-4ff4-91c2-11ea1bd8a0a5
7072,2003-4M6 #9,Identify solution method that uses multiplication,
7073,2003-4M6 #10,"Determine the length of a side of a square, given the perimeter",
7074,2003-4M6 #11,"Given a context, identify a multiple of 6",
7075,2003-4M6 #12,Solve a multistep word problem,
7076,2003-4M6 #13,Use algebraic reasoning  to determine a relationship,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=7dd9ed61-06c8-4f36-9fb6-54bff7a2bc39
7077,2003-4M6 #14,Identify the figure that could not be folded to form a cube,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=8ba15089-9c82-4ecb-b2d3-e813e4667208
7078,2003-4M6 #15,Solve a multi-step money word problem,
7080,2003-4M6 #17,Solve a story problem involving fractions,
7082,2003-4M6 #19,Use a scale to find a distance between two points,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=f2b77766-cd9f-43b8-b76b-b92c9d112539
7083,2003-4M6 #20,Solve an inequality,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=8a9579e8-2eef-4a46-9d66-9a45caa8eac8
7286,2003-4M7 #1,Divide one 3-digit number by another (calculator available),
7287,2003-4M7 #2,Identify a reasonable amount of time to walk 2 miles (calculator available),
7288,2003-4M7 #3,"Find a total, given a table of data (calculator available)",https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=a2814f1f-441d-496c-a058-0f641687d7af
7289,2003-4M7 #4,Identify correct number sentence (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=b0d2087c-6e09-496d-b208-2c9e0c5125ec
7292,2003-4M7 #7,Reason about inequality relationship (calculator available),
7293,2003-4M7 #8,Solve a problem involving liquid measure (calculator available),
7294,2003-4M7 #9,Interpret the result shown on a calculator display (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=b6ba4959-3691-4e52-a589-490b335ad07e
7295,2003-4M7 #10,Solve a simple probability problem (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=c872be54-4e6f-4740-8a2a-0e6edc668ddb
7296,2003-4M7 #11,Identify a correct numerical expression to model a word problem (calculator available),
7297,2003-4M7 #12,Solve a money problem (calculator available),
7298,2003-4M7 #13,Read a thermometer and solve a problem (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=442a4314-d4e3-4ba9-8ff1-fb58c4a0e052
7299,2003-4M7 #14,Solve a multi-step money problem (calculator available),
7301,2003-4M7 #16,Solve a problem involving an algebraic relationship (calculator available),
7302,2003-4M7 #17,Solve a problem involving time (calculator available),
7046,2003-4M10 #1,Identify object measured in feet,
7047,2003-4M10 #2,Identify shape with three angles,
7048,2003-4M10 #3,Translate large number in words to numeral,
7049,2003-4M10 #4,Identify instrument to weigh an apple,
7052,2003-4M10 #7,Solve a multi-step word problem,
7053,2003-4M10 #8,Evaluate an algebraic expression,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=d1d9b442-0206-406e-a88c-12bd95a31a8d
7056,2003-4M10 #11,Find the product of several numbers when one of them is zero,
7060,2003-4M10 #15,Estimate solution of a multi-step word problem,
7061,2003-4M10 #16,Solve simple probability problem,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=515ddb74-f262-401f-bd9f-69acd93cb668
7126,2003-8M6 #1,Add two 3-digit numbers,
7127,2003-8M6 #2,Identify picture model of 3/4,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=23ace0af-133a-4d58-b49c-64c7f633a4d2
7129,2003-8M6 #4,Identify heaviest object,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=4f5f2843-9af7-4dfc-8356-bae34b22ef31
7132,2003-8M6 #7,Solve a multi-step money word problem,
7134,2003-8M6 #9,Identify solution method that uses multiplication,
7135,2003-8M6 #10,"Given the perimeter, find the length of a square",
7136,2003-8M6 #11,"Given a context, identify a multiple of 6",
7137,2003-8M6 #12,Solve a multistep word problem,
7138,2003-8M6 #13,Use algebra to determine a relationship,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=4fcbcfdf-060e-4b03-9568-31b31ce01d60
7139,2003-8M6 #14,Identify the net that could not form a cube,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=2b09d670-f1bf-458d-9d9c-81f8fe94d743
7140,2003-8M6 #15,Reason about quadrilaterals,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=3315b48a-3956-44a0-9fbe-f05caee8161c
7142,2003-8M6 #17,Solve a word problem with simple fractions,
7144,2003-8M6 #19,Use proportional reasoning to find the distance between two towns along a line,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=c21c40fb-6ad1-48be-8527-f7eac1d28346
7145,2003-8M6 #20,Solve an inequality,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=60a3f688-6c5b-4dde-86d5-5616e9a55469
7147,2003-8M6 #22,Identify measurement within tolerance,
7148,2003-8M6 #23,"Recognize the meaning of ""isosceles""",
7151,2003-8M6 #26,Apply properties of square on coordinate plane,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=08e0ffc4-dd89-4f01-8aa2-6ebfb02d6dd1
7153,2003-8M6 #28,Find a median,
10219,2003-8M7 #1,Identify number of feet in 15 miles (calculator available),
10220,2003-8M7 #2,Solve a money word problem (calculator available),
10221,2003-8M7 #3,Find the measure of an angle in a triangle (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=7b057501-2220-4d3b-9ef7-a7b5fba31e4a
10223,2003-8M7 #5,Relate a numerical expression to area of a rectangle (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=f7d6a1fb-8a01-49d2-a9d3-6ad511003b58
10226,2003-8M7 #8,Identify price increases on a line graph (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=2a9e8abc-45cc-4035-af6a-c83fae15da34
10227,2003-8M7 #9,Solve problem using multiplication and division (calculator available),
10228,2003-8M7 #10,Identify properties of parallelograms (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=bcbdde23-fe92-4774-9e8b-a0014f762a93
10229,2003-8M7 #11,Identify a counterexample for a statement about even and odd numbers (calculator available),
10230,2003-8M7 #12,Determine which term in a pattern of fractions will have a specified decimal value (calculator available),
10232,2003-8M7 #14,Use pie chart and percent (calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=9295c42b-2441-4a5a-b8fc-fbb2f988e482
10234,2003-8M7 #16,Identify decimal for scientific notation (calculator available),
10235,2003-8M7 #17,Represent the mean of three distances  algebraically (calculator available),
10236,2003-8M7 #18,Solve an equation in terms of a variable (calculator available),
7109,2003-8M10 #3,Identify the value of a variable that satisfies a given condition,
7110,2003-8M10 #4,Interpret data in a pictogram,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=6a26eb6a-4d7d-483e-b037-687c1893eaeb
7115,2003-8M10 #9,Find angle measure in a triangle,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=9e53b2bf-c50c-4aa2-8151-2d4d1259000d
7116,2003-8M10 #10,Identify equivalent ratio,
7117,2003-8M10 #11,Identify property of graph of a line,
7118,2003-8M10 #12,Compute using order of operations,
7120,2003-8M10 #14,Estimate length of one object using another,
7123,2003-8M10 #17,Represent even number algebraically,
7124,2003-8M10 #18,Reason using information about relative position along a line,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=63cef765-814f-4011-b722-ecc44f96cc9d
6554,1996-4M9 #3,Write an Expression Using N,
6555,1996-4M9 #4,Use Data from a Pictograph,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=aa028555-d6f8-47e3-9aed-127ef355dab0
6557,1996-4M9 #6,Count Cubes in Solid,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=8dd03cdd-8052-4dd7-b0bc-4776fd10ba52
6559,1996-4M9 #8,Relate Perimeter to Side Length,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=94d0682e-f4e0-4046-943b-29e3ae0abcb4
6560,1996-4M9 #9,Determine a Probability,
6543,1996-4M12 #1,Use Subtraction in Problem (Calculator available),
6544,1996-4M12 #2,Identify Multiple of 5 (Calculator available),
6545,1996-4M12 #3,Identify Solution for Problem (Calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=1310d8ca-4b5a-42c9-904c-c3c8b7976860
6546,1996-4M12 #4,Read Bar Graph (Calculator available),https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=9fbcf953-ef09-4550-abca-9b1db47763b5
6548,1996-4M12 #6,Solve a Division Problem (Calculator available),
6579,1996-8M3 #1,Round to Thousands Place,
6580,1996-8M3 #2,Write Fraction That Represents Shaded Region,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=0e635f02-701c-45c6-8527-e4475957d6b5
6581,1996-8M3 #3,Multiply Two Negative Integers,
6583,1996-8M3 #5,Find Amount of Restaurant Tip,
6584,1996-8M3 #6,Identify Representative Sample,
6585,1996-8M3 #7,Read Dials on a Meter,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=36385d76-18fd-4860-baa9-d01644d52ff7
6586,1996-8M3 #8,"Find (x,y) Solution of Linear Equation",
6587,1996-8M3 #9,"Find (x,y) Solution of Linear Equation",
6570,1996-8M12 #1,Use Division and Subtraction (Calculator available),
6572,1996-8M12 #3,Recognize Best Unit of Measurement (Calculator available),
6573,1996-8M12 #4,Apply Numerical Reasoning (Calculator available),
6576,1996-8M12 #7,Use Conversion Units of Length (Calculator available),
6512,1996-12M10 #6,Solve Pair of Equations,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=8ccb7a28-0618-4a93-bd00-0a7939d74a02
6514,1996-12M10 #8,Use Trigonometric Identity,
6515,1996-12M10 #9,Identify Graph of Function,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=350873f5-b8a8-4a25-9728-8e39ddfea93d
6519,1996-12M12 #3,Recognize Best Unit of Measurement,
6520,1996-12M12 #4,Apply Numerical Reasoning,
6523,1996-12M12 #7,Divide Very Large Numbers,
6527,1996-12M13 #1,Read Temperature vs Time Graph,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=6dd3fe98-737d-4829-be1a-f8cf07f304da
6529,1996-12M13 #3,Solve a Rate vs Time Problem,
6531,1996-12M13 #5,Recognize Superfluous Information,
